Country,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005 ,2004,2003,2002,2001,2000,1999,1998,1997,1996,Average,Std,Max,Min,Population,PerPerson
Argentina,19.8,19.5,18.5,18.4,18.6,11.6,13.9,8.0,11.0,16.4,14.9,8.9,8.5,16.5,14.0,16.0,14.6,14.5,12.3,15.4,16.5,15.7,11.5,14.8,15.9,14.627999999999998,3.2480788167776966,19.8,3.2480788167776966,46.044703,0.31769126624619554
Iran,15.0,16.8,14.5,14.0,11.1,11.5,13.5,14.0,13.8,13.5,15.0,13.5,8.0,15.9,14.5,14.5,14.0,13.4,12.5,9.5,7.0,8.0,11.0,10.2,8.8,12.54,2.613044201692731,16.8,2.613044201692731,85.1386,0.1472892436568137
Australia,14.5,17.6,20.9,31.8,22.3,23.7,25.3,22.9,29.9,27.4,22.1,21.7,21.4,13.0,10.8,25.1,21.9,26.1,10.1,24.3,18.5,24.1,22.1,19.4,23.7,21.62400000000001,5.2235068679958685,31.8,5.2235068679958685,26.5577,0.8142271356329807
Kazakhstan,14.3,11.3,13.9,14.8,15.0,13.7,13.0,13.9,13.3,22.7,9.6,17.1,12.6,16.5,13.5,11.1,9.9,11.5,12.7,12.7,9.1,11.2,4.8,8.7,8.0,12.596,3.405228920351758,22.7,3.405228920351758,19.854083,0.6344286966061339
Poland,12.4,10.8,9.8,11.7,10.8,11.0,11.6,9.5,8.6,9.3,9.5,9.8,9.3,8.4,7.1,8.6,9.9,7.9,9.3,9.3,8.5,9.1,9.5,8.2,8.6,9.54,1.241933975700802,12.4,1.241933975700802,37.726,0.252876000636166
United Kingdom,9.7,16.2,13.6,14.8,14.4,16.4,16.6,11.9,13.3,15.3,14.9,14.4,17.2,13.4,14.7,15.0,15.5,14.3,16.0,11.6,16.8,14.9,15.5,15.1,16.1,14.704,1.7051639217389043,17.2,1.7051639217389043,67.026292,0.21937659926048125
Egypt,9.0,9.0,8.8,8.6,9.0,9.6,9.3,9.5,8.8,8.4,7.2,8.5,8.0,7.4,8.3,8.1,7.2,6.8,6.6,6.3,6.6,6.3,6.0,5.8,5.7,7.792000000000001,1.2243920940613755,9.6,1.2243920940613755,102.060688,0.07634673205416762
Spain,8.1,6.0,8.0,4.8,6.4,6.4,6.5,7.6,4.7,6.9,5.6,4.7,6.7,6.4,5.6,3.8,7.1,6.3,6.8,5.0,7.3,4.9,5.3,4.6,6.0,6.0600000000000005,1.1167810886650973,8.1,1.1167810886650973,48.196693,0.12573476773603534
Romania,6.8,10.3,10.1,10.0,8.4,8.0,7.6,7.3,5.3,7.1,5.8,5.2,7.2,2.9,5.5,7.0,7.8,2.5,4.4,7.8,4.4,4.4,5.0,6.6,3.1,6.42,2.120377324911771,10.3,2.120377324911771,19.053815,0.3369403975004481
Italy,6.7,6.7,6.9,7.0,8.0,7.4,7.1,7.0,7.4,6.6,6.8,6.3,8.9,7.3,7.1,7.5,8.6,6.2,7.6,6.5,6.9,7.3,8.1,6.8,8.3,7.24,0.6805879810869423,8.9,0.6805879810869423,58.803163,0.12312262862458608
Brazil,6.3,5.6,5.4,4.3,6.8,5.5,6.3,5.7,4.4,5.7,6.0,5.1,6.0,4.1,2.5,5.2,5.7,6.2,3.1,3.4,1.7,2.5,2.3,2.5,3.3,4.624,1.5028719173635523,6.8,1.5028719173635523,203.062512,0.022771312904865473
Iraq,6.2,4.3,3.2,3.0,3.1,2.6,3.8,3.3,2.4,2.8,2.8,1.7,1.3,2.2,2.1,2.2,1.8,2.3,2.6,0.9,0.4,0.8,1.1,1.1,1.3,2.372,1.2382309962200106,6.2,0.4,41.1907,0.0575858142736103
Uzbekistan,6.2,6.1,5.4,6.1,6.9,7.0,7.0,6.8,6.5,6.5,6.7,6.6,6.1,6.2,6.1,6.1,5.4,5.4,5.0,3.7,3.5,3.6,3.6,3.0,2.7,5.528,1.3325224200740486,7.0,1.3325224200740486,36.197788,0.15271651405881484
Ethiopia,5.5,5.3,4.2,4.8,4.5,4.7,4.2,4.0,2.9,2.9,3.1,2.5,2.5,2.2,2.8,1.7,1.6,1.4,1.5,1.6,2.5,2.1,1.5,2.0,1.6,2.944,1.2902960900506522,5.5,1.2902960900506522,105.163988,0.027994373891564475
Afghanistan,5.2,4.9,3.6,4.3,4.6,4.7,5.4,5.2,5.1,3.4,4.5,5.1,2.6,4.5,3.4,4.3,2.3,3.5,2.7,1.6,1.5,2.5,2.8,2.7,2.3,3.708,1.1902671968932017,5.4,1.1902671968932017,32.890171,0.11273884833253071
Hungary,5.1,5.4,5.2,5.2,4.8,5.3,5.3,5.1,3.8,4.1,3.8,4.4,5.6,4.0,4.4,5.0,6.0,2.9,3.9,5.2,3.7,2.6,4.9,5.3,3.9,4.596000000000001,0.8387991416304621,6.0,0.8387991416304621,9.678,0.4748915065096095
Czech Republic,4.9,4.8,4.4,4.7,5.5,5.3,5.4,4.7,3.5,4.9,4.2,4.4,4.6,4.0,3.5,4.5,5.0,2.6,3.9,4.5,4.1,4.0,3.8,3.6,3.7,4.34,0.6705221845696084,5.5,0.6705221845696084,10.827529,0.4008301432395147
Bulgaria,4.9,6.3,5.8,6.1,5.7,5.0,5.3,5.1,4.3,4.5,4.0,4.0,4.6,2.4,3.3,3.5,4.0,2.0,4.1,4.1,3.3,3.2,3.3,3.6,1.8,4.167999999999998,1.1742980882212148,6.3,1.1742980882212148,6.44771,0.6464310584688204
Lithuania,4.8,3.8,2.8,3.9,3.8,4.4,3.2,2.9,3.0,1.9,1.7,2.1,1.7,1.4,0.8,1.4,1.4,1.2,1.2,1.1,1.2,0.9,1.0,1.1,0.9,2.144,1.2122969933147572,4.8,0.8,2.862274,0.7490547725340062
Denmark,4.1,4.6,2.7,4.8,4.2,5.0,4.9,4.1,4.5,4.8,5.1,5.9,5.0,4.5,4.8,4.8,4.8,4.7,4.1,4.7,4.7,4.5,5.0,5.0,4.8,4.643999999999999,0.5455859235720804,5.9,0.5455859235720804,5.941388,0.7816355370159295
Sweden,3.2,3.5,1.6,3.3,2.8,3.3,3.1,1.9,2.3,2.3,2.2,2.3,2.2,2.3,2.0,2.2,2.4,2.3,2.1,2.4,2.4,1.7,2.2,2.1,2.0,2.4040000000000004,0.4983813800695206,3.5,0.4983813800695206,10.538026,0.22812621642801037
Algeria,3.1,3.9,4.0,2.4,2.4,2.7,2.4,3.2,3.4,2.6,2.6,3.0,1.1,2.3,2.7,2.4,2.7,3.0,1.5,2.0,0.8,1.5,2.3,0.7,3.0,2.4679999999999995,0.8293226151504611,4.0,0.7,45.4,0.054361233480176206
Mexico,3.0,3.2,2.9,3.5,3.9,3.7,3.7,3.4,2.3,3.6,3.7,4.1,4.0,3.5,3.3,3.0,2.9,2.8,3.2,3.3,3.3,3.1,3.2,3.6,3.4,3.3439999999999994,0.4010785459233641,4.1,0.4010785459233641,128.665641,0.025989844483812113
Serbia,2.9,2.5,2.9,2.3,2.9,2.4,2.4,2.7,1.9,2.1,1.6,2.1,2.1,2.1,1.9,2.7,2.8,1.4,2.3,2.5,2.3,2.1,2.9,3.1,1.5,2.336,0.4550868049064925,3.1,0.4550868049064925,6.647003,0.3514365797638424
Syria,2.8,3.1,1.2,2.2,2.9,2.4,2.0,3.1,3.7,3.9,3.1,3.7,2.1,4.0,4.7,4.7,4.5,4.9,4.8,4.7,2.7,2.6,4.1,3.0,4.1,3.3999999999999995,1.0071742649611335,4.9,1.0071742649611335,22.923,0.1483226453780046
Belarus,2.8,2.3,1.8,2.6,2.3,2.9,2.9,2.1,2.6,2.2,1.7,2.0,2.0,1.4,1.1,1.2,1.1,0.8,1.0,0.9,1.0,0.7,0.8,0.7,0.6,1.6600000000000004,0.761577310586391,2.9,0.6,9.200617,0.18042268252227003
Latvia,2.7,2.4,1.4,2.1,2.1,2.3,1.5,1.4,1.5,0.9,1.0,1.0,1.0,0.8,0.6,0.7,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,1.0959999999999996,0.7113255232311014,2.7,0.4,1.8854,0.5813090060464621
Morocco,2.6,4.0,7.3,7.1,2.7,8.1,5.1,6.9,3.9,6.0,4.9,6.4,3.8,1.6,6.3,3.0,5.5,5.7,3.4,3.3,1.4,2.2,4.4,2.3,5.9,4.5520000000000005,1.8791742867546903,8.1,1.4,37.0013,0.12302270460767596
Nepal,2.2,2.0,2.0,1.9,1.7,2.0,1.9,1.7,1.9,1.8,1.6,1.3,1.6,1.5,1.4,1.4,1.4,1.3,1.3,1.1,1.2,1.1,1.0,1.1,1.0,1.5360000000000005,0.352,2.2,0.352,29.164578,0.052666628675374645
Slovakia,2.1,1.9,1.9,1.8,2.4,2.1,2.1,1.7,1.3,1.6,1.2,1.5,1.8,1.4,1.3,1.6,1.8,0.9,1.6,1.9,1.3,1.2,1.8,1.9,1.7,1.6719999999999997,0.3423682228244905,2.4,0.3423682228244905,5.426857,0.30809730199266344
South Africa,2.1,1.5,1.9,1.5,1.9,1.5,1.8,1.9,1.9,2.0,1.4,2.0,2.1,1.9,2.1,1.9,1.7,1.5,2.4,2.5,2.4,1.7,1.9,2.4,2.7,1.944,0.335952377577537,2.7,0.335952377577537,60.604992,0.0320765655740042
